PC_Test_ID,Batch_ID,Product,Production_Line,Test_Date,Month_Year,Analyst,pH_Value,pH_Min,pH_Max,pH_Result,Moisture_Pct,Moisture_Limit,Moisture_Result,Purity_Pct,Purity_Min,Purity_Result,Overall_Status
PHY-0001,BCH-2022-0001,Jackfruit Chips,Line A,2022-01-04 00:00:00,Jan-2022,Priya S.,3.91,4.5,6.5,FAIL,1.88,3.5,PASS,94.8,92,PASS,FAIL
PHY-0002,BCH-2022-0002,Okra Chips,Line B,2022-01-05 00:00:00,Jan-2022,Anand M.,4.97,4.5,6.5,PASS,1.43,3.5,PASS,94.8,92,PASS,PASS
PHY-0003,BCH-2022-0003,Roasted Corn,Line C,2022-01-06 00:00:00,Jan-2022,Meena R.,6.24,4.5,6.5,PASS,1.66,3.5,PASS,97.3,92,PASS,PASS
PHY-0004,BCH-2022-0004,Chickpea Snacks,Line D,2022-01-07 00:00:00,Jan-2022,Karthik V.,5.25,4.5,6.5,PASS,3.19,3.5,PASS,95.0,92,PASS,PASS
PHY-0005,BCH-2022-0005,Banana Chips,Line E,2022-01-08 00:00:00,Jan-2022,Divya N.,5.82,4.5,6.5,PASS,2.66,3.5,PASS,95.8,92,PASS,PASS
PHY-0006,BCH-2022-0006,Sweet Potato Chips,Line F,2022-01-09 00:00:00,Jan-2022,Suresh B.,5.6,4.5,6.5,PASS,1.44,3.5,PASS,95.3,92,PASS,PASS
PHY-0007,BCH-2022-0007,Masala Peanuts,Line A,2022-01-14 00:00:00,Jan-2022,Leena D.,5.41,4.5,6.5,PASS,2.56,3.5,PASS,92.8,92,PASS,PASS
PHY-0008,BCH-2022-0008,Tapioca Crisps,Line B,2022-01-15 00:00:00,Jan-2022,Sagar A.,6.05,4.5,6.5,PASS,2.79,3.5,PASS,95.4,92,PASS,PASS
PHY-0009,BCH-2022-0009,Jackfruit Chips,Line C,2022-01-16 00:00:00,Jan-2022,Priya S.,5.46,4.5,6.5,PASS,2.87,3.5,PASS,96.0,92,PASS,PASS
PHY-0010,BCH-2022-0010,Okra Chips,Line D,2022-01-17 00:00:00,Jan-2022,Anand M.,6.0,4.5,6.5,PASS,1.75,3.5,PASS,92.3,92,PASS,PASS
PHY-0011,BCH-2022-0011,Roasted Corn,Line E,2022-01-18 00:00:00,Jan-2022,Meena R.,6.21,4.5,6.5,PASS,2.22,3.5,PASS,92.6,92,PASS,PASS
PHY-0012,BCH-2022-0012,Chickpea Snacks,Line F,2022-01-20 00:00:00,Jan-2022,Karthik V.,4.58,4.5,6.5,PASS,3.86,3.5,FAIL,93.4,92,PASS,FAIL
PHY-0013,BCH-2022-0013,Banana Chips,Line A,2022-01-27 00:00:00,Jan-2022,Divya N.,4.84,4.5,6.5,PASS,1.57,3.5,PASS,92.5,92,PASS,PASS
PHY-0014,BCH-2022-0014,Sweet Potato Chips,Line B,2022-01-28 00:00:00,Jan-2022,Suresh B.,5.41,4.5,6.5,PASS,2.73,3.5,PASS,93.6,92,PASS,PASS
PHY-0015,BCH-2022-0015,Masala Peanuts,Line C,2022-01-29 00:00:00,Jan-2022,Leena D.,5.56,4.5,6.5,PASS,2.91,3.5,PASS,87.9,92,FAIL,FAIL
PHY-0016,BCH-2022-0016,Tapioca Crisps,Line D,2022-01-30 00:00:00,Jan-2022,Sagar A.,3.38,4.5,6.5,FAIL,4.07,3.5,FAIL,96.8,92,PASS,FAIL
PHY-0017,BCH-2022-0017,Jackfruit Chips,Line E,2022-01-31 00:00:00,Jan-2022,Priya S.,5.31,4.5,6.5,PASS,2.46,3.5,PASS,92.3,92,PASS,PASS
PHY-0018,BCH-2022-0018,Okra Chips,Line F,2022-02-02 00:00:00,Feb-2022,Anand M.,5.69,4.5,6.5,PASS,1.36,3.5,PASS,95.9,92,PASS,PASS
PHY-0019,BCH-2022-0019,Roasted Corn,Line A,2022-02-03 00:00:00,Feb-2022,Meena R.,5.73,4.5,6.5,PASS,1.28,3.5,PASS,93.5,92,PASS,PASS
PHY-0020,BCH-2022-0020,Chickpea Snacks,Line B,2022-02-04 00:00:00,Feb-2022,Karthik V.,4.98,4.5,6.5,PASS,2.33,3.5,PASS,96.8,92,PASS,PASS
PHY-0021,BCH-2022-0021,Banana Chips,Line C,2022-02-06 00:00:00,Feb-2022,Divya N.,5.56,4.5,6.5,PASS,1.66,3.5,PASS,93.4,92,PASS,PASS
PHY-0022,BCH-2022-0022,Sweet Potato Chips,Line D,2022-02-13 00:00:00,Feb-2022,Suresh B.,4.88,4.5,6.5,PASS,2.55,3.5,PASS,93.7,92,PASS,PASS
PHY-0023,BCH-2022-0023,Masala Peanuts,Line E,2022-02-18 00:00:00,Feb-2022,Leena D.,4.51,4.5,6.5,PASS,1.59,3.5,PASS,95.1,92,PASS,PASS
PHY-0024,BCH-2022-0024,Tapioca Crisps,Line F,2022-02-19 00:00:00,Feb-2022,Sagar A.,5.33,4.5,6.5,PASS,1.48,3.5,PASS,93.4,92,PASS,PASS
PHY-0025,BCH-2022-0025,Jackfruit Chips,Line A,2022-02-22 00:00:00,Feb-2022,Priya S.,5.12,4.5,6.5,PASS,1.9,3.5,PASS,98.4,92,PASS,PASS
PHY-0026,BCH-2022-0026,Okra Chips,Line B,2022-02-23 00:00:00,Feb-2022,Anand M.,4.56,4.5,6.5,PASS,3.24,3.5,PASS,95.9,92,PASS,PASS
PHY-0027,BCH-2022-0027,Roasted Corn,Line C,2022-02-26 00:00:00,Feb-2022,Meena R.,4.29,4.5,6.5,FAIL,10.02,3.5,FAIL,95.4,92,PASS,FAIL
PHY-0028,BCH-2022-0028,Chickpea Snacks,Line D,2022-02-27 00:00:00,Feb-2022,Karthik V.,4.7,4.5,6.5,PASS,3.21,3.5,PASS,96.4,92,PASS,PASS
PHY-0029,BCH-2022-0029,Banana Chips,Line E,2022-02-28 00:00:00,Feb-2022,Divya N.,5.69,4.5,6.5,PASS,2.51,3.5,PASS,94.2,92,PASS,PASS
PHY-0030,BCH-2022-0030,Sweet Potato Chips,Line F,2022-03-01 00:00:00,Feb-2022,Suresh B.,5.03,4.5,6.5,PASS,1.58,3.5,PASS,93.0,92,PASS,PASS
PHY-0031,BCH-2022-0031,Masala Peanuts,Line A,2022-03-02 00:00:00,Mar-2022,Leena D.,5.52,4.5,6.5,PASS,1.0,3.5,PASS,93.7,92,PASS,PASS
PHY-0032,BCH-2022-0032,Tapioca Crisps,Line B,2022-03-03 00:00:00,Mar-2022,Sagar A.,5.24,4.5,6.5,PASS,2.29,3.5,PASS,94.9,92,PASS,PASS
